구분,type설명,t,tt,정규화 방법,사용여부
index,index,인덱스,,,
개설지점코드,개설지점코드,categorical,norminal,,
대출기간_개월,대출기간_개월,numerical,,,
대출실행금액,대출실행금액,numerical,,,
응당일,응당일,categorical,norminal,,
접수경로,접수경로,categorical,norminal,,
대출시점나이,대출시점나이,categorical,ordinal,,
성별,성별,categorical,norminal,,
직업코드,직업코드,categorical,norminal,,
직위코드,직위코드,categorical,norminal,,
현거주지지역,현거주지지역,categorical,norminal,,
주민등록지역,주민등록지역,categorical,norminal,,
거주지주민등록지동일여부,거주지주민등록지동일여부,categorical,norminal,,
금리,금리,numerical,,,
B12000100,(신용관리대상/공공정보)등록 총 건수,numerical,,,
B22000200,(채무불이행-신용정보사)미해제등록 총 건수,numerical,,,
B22000300,(채무불이행-신용정보사)총 등록금액,numerical,,,
B32000100,(채무불이행/공공+금융질서문란)등록 총 건수,numerical,,,
BS0000164,신용회복지원여부,numerical,,,n
BS0000772,(채무불이행/공공+금융질서문란)최근5년내 해제 총건수(삭제포함),numerical,,,
BS0000930,(채무불이행/공공+금융질서문란)최근1년내 해제 총건수(삭제포함),numerical,,,
C00000001,최근3년내 미해지 신용카드 총건수,numerical,,,
C00000023,최근1년내 미해지 가계/당좌예금/신용카드/체크카드 발급 총건수,numerical,,,
C00000035,최근 미해지 신용카드/백화점카드 발급일로부터의 기간,numerical,,,
C00000052,최근5년내 미해지 신용개설 총 건수,numerical,,,
C00000090,최초 신용카드 발급일로부터의 기간(일),numerical,,,
C00000093,최근 신용카드 발급일로부터의 기간(일),numerical,,,
C11061000,최초 미해지 신용카드 발급일로부터의 기간,numerical,,,
CA1200001,최근1년내신용카드개설기관수,numerical,,,
CA2400001,최근2년내신용카드개설기관수,numerical,,,
CA3600001,최근3년내신용카드개설기관수,numerical,,,
CE0000004,총 신용신용카드수 대비 최근 12개월내 신용신용카드 발급비율,numerical,,,
CF0100902,최근1개월 신용카드 일시불이용률(15일기준),numerical,,,
CF0100906,최근1개월 신판이용률(체크카드사용포함)(15일기준),numerical,,,
CF0100919,최근1개월 일시불이용률(체크카드사용포함)(15일기준),numerical,,,
CF0100932,최근1개월 신용카드 현금서비스이용률(15일기준),numerical,,,
CF0300611,최근3개월 신용카드 현금서비스사용개월수(15일기준),numerical,,,
CF0300902,최근3개월 신용카드 신판이용률(15일기준),numerical,,,
CF0331605,12개월 주사용신용카드의 최근3개월 현금서비스사용개월수(15일기준),numerical,,,
